timestamp,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
15.4,-0.121153,-0.35269,-0.078166,-0.241767,0.190423,-0.005438,1.729687,2.153673,2.039871,1.789104,3.442757,-2.753902
15.42,-0.11233,-0.303971,-0.027145,-0.200337,0.251034,-0.067968,-0.30666,2.668299,2.751888,2.222157,2.139574,-2.999634
15.44,-0.134196,-0.244512,0.025795,-0.154687,0.280571,-0.126276,-1.453743,2.933165,2.714626,1.922041,1.388281,-3.118469
15.46,-0.167954,-0.180449,0.086789,-0.129753,0.306273,-0.178831,-1.970383,3.559578,2.642115,1.023712,0.848476,-1.695446
15.481,-0.216289,-0.107946,0.137042,-0.1263,0.332358,-0.192642,-2.427605,3.171846,2.69952,-0.149555,1.823347,0.189838
15.501,-0.254266,-0.048102,0.19957,-0.133589,0.381461,-0.171927,-1.483955,3.203068,3.029846,-0.540306,2.610895,1.510139
15.521,-0.259637,0.015577,0.258646,-0.139343,0.423274,-0.139319,0.373127,2.88986,3.225224,-0.00856,1.967361,1.741772
15.541,-0.238538,0.07005,0.319641,-0.128603,0.440154,-0.092136,1.459785,2.656214,2.775051,0.722591,-0.198902,2.335958
15.561,-0.200944,0.113782,0.354932,-0.105968,0.439386,-0.041882,2.068071,1.458778,0.587639,1.506111,0.130421,2.783108
15.581,-0.157596,0.121837,0.346493,-0.068375,0.436317,0.020647,2.432638,-0.358021,-1.168736,2.270496,-0.432549,3.05603
15.601,-0.101589,0.100739,0.313119,-0.014669,0.417521,0.07934,2.842527,-1.255344,-2.153675,2.719662,-1.339939,3.2645
15.621,-0.046349,0.069666,0.258646,0.02983,0.382612,0.134196,3.022797,-1.711559,-2.737789,2.102312,-2.104324,2.064043
15.641,0.004288,0.028236,0.203407,0.050544,0.336195,0.150691,1.693432,-2.149647,-3.026825,0.18581,-2.822384,-0.325794
15.662,0.03421,-0.018564,0.147015,0.03827,0.277502,0.130359,1.491005,-2.630032,-2.257404,-1.167728,-2.89389,-1.405403
